All tracks @ 550 nm;15.000;25.000;35.000;45.000;55.000;65.000;75.000;85.000;
-0.032;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
-0.030;7.128;9.378;15.512;0.000;0.000;0.000;0.000;0.000;
-0.029;14.829;18.411;34.118;0.000;0.000;4.033;1.781;0.000;
-0.027;14.837;23.815;46.335;8.692;0.000;9.981;10.961;1.812;
-0.025;12.830;26.864;55.837;25.718;0.000;15.461;23.741;12.384;
-0.024;8.577;27.221;61.001;45.551;8.102;18.166;35.752;26.167;
-0.022;5.949;26.817;63.321;61.016;22.765;16.776;45.218;38.113;
-0.021;7.079;27.713;64.846;69.634;39.460;11.708;51.730;45.744;
-0.019;11.466;32.181;66.433;72.539;54.064;5.707;56.227;48.906;
-0.017;16.540;41.595;68.548;71.994;65.586;2.434;59.875;50.262;
-0.016;20.327;56.641;71.066;70.709;75.355;5.387;65.298;53.584;
-0.014;25.579;76.242;75.252;72.676;85.349;16.065;74.168;61.850;
-0.013;37.701;98.284;84.586;81.895;96.282;32.737;85.586;74.700;
-0.011;58.778;118.643;102.154;99.724;108.557;52.790;97.807;89.766;
-0.010;84.134;133.615;126.616;122.604;121.964;73.443;110.726;105.059;
-0.008;102.789;139.742;152.174;142.202;136.818;93.963;125.122;121.016;
-0.006;105.011;135.513;169.178;150.020;151.924;113.804;141.824;138.414;
-0.005;89.991;121.927;171.047;143.963;162.895;129.487;156.997;156.135;
-0.003;64.906;101.880;158.563;130.242;164.225;135.032;163.480;169.074;
-0.002;39.042;79.965;137.552;119.089;152.266;126.681;156.669;171.611;
-0.000;19.172;61.092;115.933;116.893;128.939;107.140;139.829;163.014;
0.002;7.054;48.900;100.064;122.447;102.370;84.890;121.822;148.885;
0.003;1.308;43.666;91.458;129.713;81.274;66.458;110.050;136.856;
0.005;0.000;43.456;89.309;134.398;70.565;53.497;105.853;130.518;
0.006;0.905;45.084;91.298;135.871;69.082;44.321;106.117;128.599;
0.008;3.645;46.994;95.731;136.721;72.580;37.460;107.169;127.942;
0.010;7.345;48.345;101.437;139.193;78.081;33.637;107.132;127.266;
0.011;10.666;49.323;107.083;143.433;83.468;34.041;106.595;128.043;
0.013;12.945;49.874;111.252;148.299;86.603;37.917;106.583;131.479;
0.014;13.739;50.137;113.923;153.071;86.573;43.763;108.019;136.774;
0.016;13.126;50.705;115.520;157.072;84.637;49.529;111.472;142.789;
0.017;12.428;52.940;117.067;160.135;84.125;53.666;117.468;149.588;
0.019;12.869;57.775;119.345;162.776;87.702;55.028;124.672;157.200;
0.021;14.700;65.174;122.835;165.501;94.552;54.543;130.970;165.356;
0.022;17.524;73.718;127.500;168.223;101.387;54.603;135.164;173.383;
0.024;20.857;82.055;133.085;170.638;105.095;57.418;137.765;181.100;
0.025;24.581;88.772;138.758;171.945;105.668;62.191;140.438;188.440;
0.027;28.628;93.854;143.370;171.853;104.997;66.328;145.015;194.809;
0.029;32.695;97.883;145.691;170.696;104.328;67.282;151.621;199.115;
0.030;36.220;100.552;144.582;169.459;103.676;64.661;157.521;200.742;
0.032;38.685;100.347;140.707;168.601;102.406;60.137;159.644;199.559;
0.033;40.347;96.514;135.985;168.360;100.871;55.991;156.643;195.518;
0.035;41.394;89.272;131.308;168.113;99.116;53.530;150.166;188.496;
0.037;41.935;80.632;126.762;167.387;96.528;52.425;142.932;179.194;
0.038;41.961;72.997;122.304;165.146;92.486;51.680;136.555;169.161;
0.040;40.662;67.880;117.317;160.314;87.632;50.491;131.250;160.005;
0.041;37.569;65.632;111.631;151.880;83.871;48.609;126.639;152.443;
0.043;32.964;65.207;105.279;140.468;82.648;45.736;122.421;145.903;
0.044;28.108;64.467;99.192;128.061;83.287;41.693;118.678;139.857;
0.046;24.142;61.669;94.965;117.736;83.690;37.296;114.192;134.490;
0.048;21.477;56.409;93.487;112.247;82.616;34.493;108.042;130.729;
0.049;19.426;50.271;93.838;113.315;80.536;34.247;101.524;128.386;
0.051;17.455;45.644;93.532;121.246;79.107;35.874;96.800;126.834;
0.052;15.566;43.541;91.194;136.377;79.140;37.079;95.240;125.181;
0.054;14.161;42.750;88.310;159.211;80.463;35.943;96.292;123.887;
0.056;13.353;41.596;87.654;187.189;82.233;32.827;97.163;123.488;
0.057;12.640;38.907;89.635;213.896;83.732;29.505;95.953;124.629;
0.059;11.619;35.270;92.629;231.223;84.619;27.143;93.099;127.342;
0.060;10.216;32.168;94.536;234.133;84.826;26.678;90.278;131.321;
0.062;8.782;31.202;94.534;224.521;84.447;28.114;89.444;136.485;
0.063;7.439;32.685;93.503;209.658;83.434;31.121;91.818;143.412;
0.065;6.661;35.452;94.412;196.081;81.819;34.351;96.872;152.672;
0.067;6.403;37.307;99.703;187.043;80.313;36.065;102.925;164.232;
0.068;6.431;37.455;109.309;181.599;80.784;35.388;108.131;177.141;
0.070;6.442;36.897;119.796;178.167;83.711;33.650;111.322;190.165;
0.071;6.201;37.555;127.271;176.530;88.268;32.975;113.232;202.909;
0.073;5.894;40.772;131.017;177.138;92.902;34.073;115.890;215.631;
0.075;5.886;46.007;134.121;179.111;96.330;35.642;121.276;228.735;
0.076;6.790;51.617;139.739;180.783;98.398;36.430;130.190;242.041;
0.078;8.687;56.519;148.553;180.724;99.844;36.901;141.373;254.918;
0.079;11.108;61.026;158.320;180.039;100.939;38.160;151.681;266.937;
0.081;12.891;65.812;166.908;181.058;102.227;40.604;158.860;278.090;
0.083;13.386;71.751;174.302;184.849;104.160;43.264;163.611;288.621;
0.084;12.758;79.037;181.990;189.761;107.010;45.265;168.196;298.775;
0.086;12.463;87.346;190.284;193.356;110.323;46.961;174.027;308.566;
0.087;13.490;96.052;199.024;195.667;112.841;49.533;180.641;318.103;
