All tracks @ 257 nm;9,000;17,000;25,000;33,000;41,000;
-0,023;0,000;0,000;0,000;0,000;0,000;
-0,020;0,010;0,000;0,597;0,000;0,462;
-0,018;0,000;0,000;1,043;0,119;1,042;
-0,016;0,000;0,000;1,040;0,500;1,812;
-0,014;0,149;0,171;0,944;1,151;2,832;
-0,011;0,437;0,045;0,734;1,935;3,961;
-0,009;0,742;0,000;0,581;2,908;5,090;
-0,007;0,718;0,141;1,095;3,921;5,963;
-0,005;0,297;0,626;2,437;4,920;6,152;
-0,002;0,000;1,480;3,904;5,376;5,877;
-0,000;0,160;2,541;5,059;5,397;5,303;
0,002;0,821;3,241;5,431;4,903;4,669;
0,005;1,635;3,413;5,039;4,382;4,279;
0,007;2,131;3,374;4,246;4,096;4,163;
0,009;2,056;3,117;3,611;4,039;4,268;
0,011;1,712;2,745;3,143;4,051;5,248;
0,014;1,465;2,322;2,938;4,293;7,047;
0,016;1,565;2,162;3,054;4,819;9,062;
0,018;1,958;2,266;3,429;5,879;11,215;
0,020;2,541;2,982;4,259;7,338;13,290;
0,023;3,063;3,869;5,350;9,185;15,819;
0,025;3,329;4,596;6,629;11,417;19,648;
0,027;3,400;5,202;8,172;14,103;25,371;
0,030;3,510;5,908;10,039;17,491;33,590;
0,032;3,859;6,968;12,295;21,974;45,054;
0,034;4,397;8,590;15,828;28,129;60,329;
0,036;5,066;10,707;20,876;37,125;80,102;
0,039;5,878;13,870;28,045;50,010;104,254;
0,041;7,161;18,548;37,732;67,124;131,211;
0,043;9,262;24,975;50,000;87,865;158,528;
0,045;12,301;33,352;64,828;110,473;183,313;
0,048;16,357;43,520;81,883;132,699;203,065;
0,050;21,518;55,342;99,327;152,213;216,034;
0,052;27,630;67,704;115,215;167,025;221,422;
0,055;34,399;78,925;127,608;175,411;218,479;
0,057;41,105;87,646;135,183;177,027;207,352;
0,059;46,509;93,005;137,088;171,759;189,292;
0,061;49,834;94,384;133,148;160,261;166,054;
0,064;50,927;91,842;123,765;143,604;139,896;
0,066;49,769;85,361;109,934;123,301;113,521;
0,068;46,440;75,637;93,577;101,475;89,170;
0,070;41,420;64,029;76,766;80,515;69,136;
0,073;35,333;52,320;60,893;62,624;55,274;
0,075;29,010;41,747;47,132;49,036;48,294;
0,077;23,351;33,129;36,693;40,414;47,941;
0,080;18,498;26,391;30,165;36,863;53,748;
0,082;14,463;21,839;27,753;38,442;64,637;
0,084;11,251;19,688;29,170;44,397;79,738;
0,086;9,179;20,035;33,832;54,144;97,918;
0,089;8,709;23,117;41,128;66,930;117,552;
0,091;10,216;28,582;50,823;81,807;136,808;
0,093;13,312;35,601;62,353;97,762;153,948;
0,095;17,354;43,842;75,011;113,270;167,200;
0,098;21,694;52,622;87,441;126,750;175,591;
0,100;26,020;60,875;98,199;136,646;178,282;
0,102;30,362;67,966;105,978;142,195;175,132;
0,105;34,551;73,046;110,119;142,793;166,710;
0,107;37,873;75,574;110,232;138,721;153,618;
0,109;39,634;75,517;106,691;130,399;136,685;
0,111;39,361;72,968;99,443;118,477;117,378;
0,114;37,552;67,936;89,175;103,991;97,140;
0,116;34,804;60,955;77,014;87,926;77,633;
0,118;31,279;52,791;64,288;71,629;60,575;
0,120;27,084;44,058;52,476;56,627;47,027;
0,123;22,628;35,448;42,108;44,066;37,350;
0,125;18,022;27,852;33,155;34,385;31,508;
0,127;13,733;21,681;25,942;27,646;29,340;
0,130;10,264;17,331;20,696;23,891;30,720;
0,132;7,599;14,570;17,800;23,164;35,533;
0,134;5,800;13,308;17,856;25,307;43,852;
0,136;5,132;13,319;20,047;30,112;55,316;
0,139;5,654;14,692;24,276;37,394;68,893;
0,141;7,066;17,421;30,486;46,833;83,649;
0,143;9,038;21,527;38,211;58,476;98,828;
0,145;11,226;26,549;47,188;71,482;113,201;
0,148;13,639;32,385;56,795;84,128;125,591;
0,150;16,463;38,645;65,998;95,528;135,337;
0,152;19,915;45,043;74,350;104,749;141,742;
0,155;23,616;51,085;81,245;111,469;144,756;
0,157;26,978;56,164;86,347;115,609;144,061;
0,159;29,795;59,517;89,297;116,842;139,502;
0,161;31,747;60,782;89,744;114,445;130,729;
0,164;32,993;60,185;87,809;108,887;118,396;
0,166;33,223;58,094;83,386;100,346;103,431;
0,168;32,039;54,514;76,595;89,518;87,206;
0,170;29,577;49,471;67,660;77,280;70,736;
0,173;26,222;43,170;57,224;64,485;55,249;
0,175;22,265;36,154;46,377;51,918;41,562;
0,177;18,587;29,278;36,483;40,331;30,127;
0,180;15,093;22,836;27,771;30,082;21,263;
0,182;12,119;16,889;20,542;21,443;14,644;
0,184;9,630;11,796;14,521;14,344;9,370;
0,186;7,408;8,000;9,763;8,895;5,433;
0,189;5,368;5,355;6,154;5,215;2,731;
0,191;3,623;3,801;3,736;2,904;1,115;
0,193;2,136;2,929;2,233;1,739;0,403;
0,195;1,273;2,183;1,435;1,142;0,303;
0,198;0,910;1,417;0,950;0,584;0,175;
0,200;1,135;0,629;0,731;0,238;0,115;
0,202;1,427;0,002;0,497;0,001;0,020;
0,205;1,357;0,000;0,162;0,000;0,067;
0,207;0,896;0,398;0,000;0,187;0,000;
0,209;0,283;0,824;0,000;0,447;0,000;
0,211;0,000;1,225;0,150;0,616;0,111;
